layer,m,n,k,b,gemm,prune,spmm
0,12544,64,147,32,1.26877,0.10864,0.141506
1,12544,64,64,32,0.914016,0.055392,0.470152
2,12544,64,576,32,3.01453,0.359008,1.05587
3,12544,256,64,32,1.89584,0.053664,0.614844
4,12544,64,256,32,1.70154,0.171936,0.589724
5,12544,64,576,32,3.02832,0.362144,1.05798
6,12544,256,64,32,1.89622,0.055072,0.611056
7,12544,64,256,32,1.68979,0.171168,0.592418
8,12544,64,576,32,3.01123,0.355488,1.05518
9,12544,256,64,32,1.92858,0.05536,0.610544
10,12544,128,256,32,2.74621,0.170976,0.789254
11,3136,128,1152,32,2.98032,0.192512,0.628621
12,3136,512,128,32,1.704,0.032672,0.426152
13,3136,128,512,32,1.68349,0.094784,0.295672
14,3136,128,1152,32,2.97757,0.194656,0.630706
15,3136,512,128,32,1.7056,0.031904,0.675172
16,3136,128,512,32,1.67235,0.096096,0.295502
17,3136,128,1152,32,2.9864,0.192768,0.630719
18,3136,512,128,32,1.69869,0.033376,0.422312
19,3136,128,512,32,1.67818,0.100224,0.296835
20,3136,128,1152,32,3.08125,0.187776,0.629349
21,3136,512,128,32,1.70262,0.031072,0.425823
22,3136,256,512,32,2.71082,0.096896,0.567348
23,784,256,2304,32,3.07747,0.107712,0.6581
24,784,1024,256,32,1.73702,0.026592,0.381954
25,784,256,1024,32,1.71059,0.055808,0.299971
26,784,256,2304,32,3.06269,0.108576,0.654839
27,784,1024,256,32,1.71795,0.026336,0.506447
28,784,256,1024,32,1.70794,0.056672,3.25319
29,784,256,2304,32,3.05824,0.104768,0.659582
30,784,1024,256,32,1.728,0.026368,0.32782
31,784,256,1024,32,1.73251,0.055712,0.300096
32,784,256,2304,32,3.0697,0.105088,0.657306
33,784,1024,256,32,1.72963,0.02752,0.33375
34,784,256,1024,32,1.72179,0.053984,0.304153
35,784,256,2304,32,3.06803,0.10736,0.655145
36,784,1024,256,32,1.74397,0.026624,0.327694
37,784,256,1024,32,1.68931,0.0568,0.29973
38,784,256,2304,32,3.06019,0.106144,0.655543
39,784,1024,256,32,1.73549,0.026368,0.333417
40,784,512,1024,32,2.83072,0.055136,0.529459
41,196,512,4608,32,3.50026,0.059456,0.668948
42,196,2048,512,32,1.86992,0.023648,0.484856
43,196,512,2048,32,1.90003,0.03216,0.296909
44,196,512,4608,32,3.50976,0.064,1.31679
45,196,2048,512,32,1.84256,0.024,0.294299
46,196,512,2048,32,1.88787,0.031552,0.293363
47,196,512,4608,32,3.48906,0.061024,0.666529
48,196,2048,512,32,1.85776,0.023616,2.73754
